{'timestamp': 1759261992.117871, 'alvo_idx': 1, 'alvo_coords': (960.0, 180.0)}
{'timestamp': 1759261992.1317148, 'alvo_idx': 1, 'alvo_coords': (960.0, 180.0)}
{'timestamp': 1759261992.1455867, 'alvo_idx': 1, 'alvo_coords': (960.0, 180.0)}
{'timestamp': 1759261992.1701605, 'alvo_idx': 1, 'alvo_coords': (960.0, 180.0)}
{'timestamp': 1759261992.1857865, 'alvo_idx': 1, 'alvo_coords': (960.0, 180.0)}
{'timestamp': 1759261992.2096164, 'alvo_idx': 1, 'alvo_coords': (960.0, 180.0)}
{'timestamp': 1759261992.2330916, 'alvo_idx': 1, 'alvo_coords': (960.0, 180.0)}
{'timestamp': 1759261992.2444634, 'alvo_idx': 1, 'alvo_coords': (960.0, 180.0)}
{'timestamp': 1759261992.2551155, 'alvo_idx': 1, 'alvo_coords': (960.0, 180.0)}
{'timestamp': 1759261992.281083, 'alvo_idx': 1, 'alvo_coords': (960.0, 180.0)}
{'timestamp': 1759261992.3010786, 'alvo_idx': 1, 'alvo_coords': (960.0, 180.0)}
{'timestamp': 1759261992.3147242, 'alvo_idx': 1, 'alvo_coords': (960.0, 180.0)}
{'timestamp': 1759261992.3295248, 'alvo_idx': 1, 'alvo_coords': (960.0, 180.0)}
{'timestamp': 1759261992.352968, 'alvo_idx': 1, 'alvo_coords': (960.0, 180.0)}
{'timestamp': 1759261992.372942, 'alvo_idx': 1, 'alvo_coords': (960.0, 180.0)}
{'timestamp': 1759261992.3973024, 'alvo_idx': 1, 'alvo_coords': (960.0, 180.0)}
{'timestamp': 1759261992.414404, 'alvo_idx': 1, 'alvo_coords': (960.0, 180.0)}
{'timestamp': 1759261992.4324884, 'alvo_idx': 1, 'alvo_coords': (960.0, 180.0)}
{'timestamp': 1759261992.4419904, 'alvo_idx': 1, 'alvo_coords': (960.0, 180.0)}
{'timestamp': 1759261992.4609568, 'alvo_idx': 1, 'alvo_coords': (960.0, 180.0)}
{'timestamp': 1759261992.485095, 'alvo_idx': 1, 'alvo_coords': (960.0, 180.0)}
{'timestamp': 1759261992.4976006, 'alvo_idx': 1, 'alvo_coords': (960.0, 180.0)}
{'timestamp': 1759261992.5079644, 'alvo_idx': 1, 'alvo_coords': (960.0, 180.0)}
{'timestamp': 1759261992.5250933, 'alvo_idx': 1, 'alvo_coords': (960.0, 180.0)}
{'timestamp': 1759261992.5480828, 'alvo_idx': 1, 'alvo_coords': (960.0, 180.0)}
{'timestamp': 1759261992.5641267, 'alvo_idx': 1, 'alvo_coords': (960.0, 180.0)}
{'timestamp': 1759261992.5739589, 'alvo_idx': 1, 'alvo_coords': (960.0, 180.0)}
{'timestamp': 1759261992.6051037, 'alvo_idx': 1, 'alvo_coords': (960.0, 180.0)}
{'timestamp': 1759261992.621091, 'alvo_idx': 1, 'alvo_coords': (960.0, 180.0)}
{'timestamp': 1759261992.6313264, 'alvo_idx': 1, 'alvo_coords': (960.0, 180.0)}
{'timestamp': 1759261992.6413932, 'alvo_idx': 1, 'alvo_coords': (960.0, 180.0)}
{'timestamp': 1759261992.6551425, 'alvo_idx': 1, 'alvo_coords': (960.0, 180.0)}
{'timestamp': 1759261992.6741245, 'alvo_idx': 1, 'alvo_coords': (960.0, 180.0)}
{'timestamp': 1759261992.6896124, 'alvo_idx': 1, 'alvo_coords': (960.0, 180.0)}
{'timestamp': 1759261992.706282, 'alvo_idx': 1, 'alvo_coords': (960.0, 180.0)}
{'timestamp': 1759261992.7183287, 'alvo_idx': 1, 'alvo_coords': (960.0, 180.0)}
{'timestamp': 1759261992.7297208, 'alvo_idx': 1, 'alvo_coords': (960.0, 180.0)}
